Generation,Average Fitness,Best Fitness,Standard Deviation
0,0.23199999999999985,7.6,37.26260809565552
1,0.9856,8.8,1.256633241721072
2,3.2752,12.8,2.490515395893359
3,6.549599999999998,16.8,3.806079115247419
4,9.092799999999999,19.84,3.9995386184785775
5,12.065600000000003,23.28,4.469886669425718
6,15.144000000000004,25.6,5.068594004865729
7,17.933599999999995,27.68,5.390669914850222
8,20.31840000000001,28.88,5.671967824930327
9,22.668000000000003,30.8,6.023911300512703
10,24.52720000000001,32.48,6.138304074728551
11,25.977600000000002,34.08,6.261687692249492
12,27.411199999999987,35.28,6.41715519064473
13,28.80480000000001,36.32,6.670232732059916
14,29.855200000000014,37.68,6.77974977697406
15,31.1472,39.68,7.224664147075945
16,32.087199999999996,40.8,7.376414122926698
17,33.24879999999998,42.56,7.682747127736507
18,34.48000000000001,43.04,8.051762696599202
19,35.82400000000001,44.4,8.341034246734495
20,37.11679999999999,44.96,8.336349584217903
21,38.19439999999999,45.2,8.551807324061276
22,39.19279999999999,45.84,8.75400723677731
23,39.84239999999999,46.32,8.78198144222611
24,40.23760000000002,47.44,8.797455835693466
25,40.9576,48.56,8.906774628449144
26,41.091199999999986,49.44,8.879233574891257
27,41.783999999999985,49.76,9.304784342276236
28,42.51200000000001,50.56,9.435390379221458
29,43.16239999999999,51.28,9.509088538591849
30,43.69359999999999,51.68,9.763556530190934
31,44.72879999999999,52.72,9.873383696023275
32,45.125600000000006,52.56,9.825067876652135
33,45.5896,53.2,10.038655593473866
34,46.16319999999999,53.68,10.101046626543932
35,46.52239999999999,54.4,10.129904588647854
36,46.99840000000003,55.84,10.261783130001657
37,47.17520000000001,55.84,10.230775621273468
38,47.808,56.8,10.588855076464533
39,48.48719999999999,57.84,10.621377383033447
40,49.47760000000003,58.08,11.005036979355216
41,49.96559999999999,59.12,10.998270118946843
42,51.01360000000002,59.52,11.333549064557593
43,51.644,60.4,11.194049290567268
44,51.89360000000001,62.4,11.237922687161337
45,52.324000000000005,62.72,11.578846835991317
46,53.10800000000001,63.52,11.697927097797079
47,53.86160000000001,64.48,11.87331406759408
48,54.65760000000002,64.8,12.102527861823681
49,55.583200000000005,65.12,12.540418835703086
50,56.62959999999999,65.28,12.536611333266716
51,57.077599999999975,65.52,12.295382121674965
52,57.31199999999998,66.0,12.372507136070876
53,57.498400000000004,66.24,12.360776678004948
54,57.51760000000001,66.64,12.440393819895867
55,57.94399999999999,68.4,12.516893204416062
56,57.84960000000003,70.16,12.541961115693425
57,58.58560000000001,71.12,13.035118917310674
58,59.25839999999998,71.6,12.851150903213174
59,60.31120000000001,71.68,13.204491531438034
60,61.3792,71.76,13.632385356301299
61,62.404799999999994,72.08,13.79898239153107
62,62.70240000000002,72.72,13.672513388065013
63,62.75520000000003,73.68,13.646340752075059
64,63.06080000000004,73.68,13.85602536981164
65,63.374400000000044,73.76,13.842738064498855
66,64.0264,74.0,14.02280542409487
67,64.7384,74.0,13.973968603529087
68,64.44960000000003,74.56,14.04164972958908
69,64.9224,74.88,14.15355711362967
70,64.87759999999999,75.6,14.082016089749862
71,65.07119999999999,76.96,14.327412766651742
72,65.5248,77.68,14.447120800539894
73,66.1,77.92,14.461106163574138
74,66.5456,78.56,14.616611520214168
75,67.21919999999999,78.56,14.839580105378941
76,67.83599999999997,79.36,15.02734897900291
77,68.35359999999999,79.68,15.027640877473258
78,68.94399999999996,79.76,15.25264766288975
79,68.79039999999998,80.64,15.214244051307764
80,69.1,81.28,15.476555244114547
81,69.83440000000002,82.08,15.514757633998515
82,69.59839999999998,83.2,15.460743297295236
83,70.69920000000002,84.08,16.089226822978386
84,71.07679999999998,86.24,15.822938440359756
85,72.06880000000001,87.12,16.22909429109061
86,73.12400000000002,86.64,16.253127838092105
87,73.82640000000002,86.64,16.328570188853483
88,74.45599999999999,87.2,16.792134702978377
89,74.86399999999999,88.48,16.74107111588445
90,75.2128,89.76,16.70253878186156
91,75.7456,90.8,16.874850930056194
92,76.58720000000002,91.68,17.13015072271772
93,77.45999999999998,91.68,17.363878405171004
94,77.83919999999996,91.76,17.549087471625313
95,78.25200000000001,92.72,17.77596249178967
