Generation,Average Fitness,Best Fitness,Standard Deviation
55,60.39680000000002,71.36,13.278423301419739
56,60.83680000000003,71.92,13.558289684086404
57,61.728799999999964,72.56,13.850398593707373
58,62.556799999999974,72.96,13.799297020764017
59,63.2592,73.04,13.82573842016247
60,63.6312,74.32,13.892428492538265
61,63.99119999999999,74.64,14.005087068526972
62,64.37519999999999,76.16,14.077322181774266
63,65.05599999999997,76.8,14.27284647308788
64,65.66799999999998,78.0,14.632625921361667
65,66.71439999999998,78.8,14.806365853391739
66,67.5344,79.2,14.944280265432674
67,67.8808,79.68,14.981462935255456
68,68.45599999999999,79.84,15.423335086007716
69,68.85759999999999,80.72,15.422724200069757
70,69.62720000000002,80.96,15.463607308987521
71,69.6232,81.6,15.216579627918373
72,70.05440000000002,81.6,15.736661045449615
73,70.96800000000002,81.68,15.653213308084968
74,70.92880000000001,81.92,15.577270990598901
75,71.23759999999999,82.4,15.622253347035615
76,71.4088,82.56,15.596843040249558
77,71.58400000000002,83.44,15.616854851556292
78,71.70479999999999,83.76,15.565000013132599
79,71.82719999999998,84.48,15.794009052603641
80,72.55840000000003,84.56,15.985211984857228
81,73.1728,85.68,16.037121335937837
82,73.47120000000001,86.48,15.8642235316222
83,74.3704,86.48,16.249679628839456
84,74.50879999999998,86.72,16.14746330023311
85,74.82399999999998,86.96,16.366696373926807
86,75.64159999999998,87.84,16.742719018319054
87,75.72240000000001,88.0,16.32914832461579
88,75.60559999999998,89.36,16.485784103516004
89,76.348,89.44,16.96218226286354
90,77.11760000000002,90.0,16.858961800138836
91,77.40639999999999,90.0,16.932092778549695
92,78.11360000000002,91.12,17.041411155056025
93,78.22720000000004,92.64,17.06081929041045
94,78.73279999999997,92.64,17.48201229391894
95,79.63839999999999,93.12,17.661149238772907
96,79.98400000000001,93.44,17.75548855987158
97,80.7304,94.8,18.015392092528455
98,80.784,95.6,17.86075857047268
99,80.82160000000003,95.84,18.00387112920355
100,81.3152,96.48,18.53521805927414
101,82.58400000000002,97.04,18.641378735712745
102,83.19200000000001,97.04,18.36427227799819
103,83.39200000000001,97.04,18.24739002183281
104,84.02800000000003,98.16,18.65281310416624
105,83.932,98.4,18.5454895633705
106,84.11759999999998,98.48,18.75826277938817
107,84.44000000000004,98.8,18.674325546667728
108,84.66799999999999,99.28,18.76827190882165
109,84.79359999999997,100.48,19.033295006949736
110,85.4816,101.44,19.357215795627653
111,85.9224,103.68,19.2139473417919
112,87.1048,104.32,19.63912285392403
113,87.7136,105.44,19.61175438372822
114,88.90719999999997,106.0,20.312326740269434
115,89.68640000000003,107.04,20.638320989063292
116,90.7592,108.4,20.752162520028783
117,90.92479999999998,109.44,20.805765255465573
118,92.02399999999996,110.64,21.421835859564386
119,92.74159999999996,110.8,21.408367562008543
120,93.76639999999998,111.44,21.83306702513879
121,94.66399999999997,112.0,21.907104702272594
122,95.55680000000002,113.36,21.90313553214141
123,95.564,114.16,22.10623261039987
124,96.09440000000001,114.16,22.292390682834217
125,97.12480000000001,115.28,22.75496776867013
126,97.66800000000005,115.84,22.552956022450243
127,98.37440000000007,115.84,22.54229172197166
128,98.30319999999998,115.92,22.578170402023247
129,99.32639999999999,116.96,22.785478871060675
130,99.2032,116.8,22.7215357000135
131,99.89840000000004,117.36,23.00519182362406
132,99.28320000000004,117.52,22.781519463682656
133,99.97680000000004,118.0,23.344738362159422
134,100.09440000000001,117.76,23.074404688194523
135,99.94240000000008,118.4,23.040302814755304
136,100.72400000000003,119.28,23.260120130145957
137,100.71919999999994,119.84,23.04923032197837
138,101.31760000000006,119.84,23.295050141735736
139,101.44159999999997,119.84,23.60892910168498
140,102.0696,119.84,23.637839929687917
141,101.83759999999998,120.4,23.624115846098622
142,102.74959999999999,120.4,23.697427047402506
143,102.12960000000002,120.96,23.499104639740935
144,102.87119999999997,120.96,23.786880812603922
145,103.17280000000001,121.2,23.895270012249398
146,103.18400000000005,121.76,23.633387495188312
147,103.2312,121.76,23.936202033805902
148,103.564,122.56,24.065486498478734
149,103.49040000000002,123.36,23.604613087566126
150,104.1912,124.48,24.024624711923614
151,104.6176,124.48,24.00269210377032
152,105.42239999999998,125.04,24.403915915275338
153,105.86879999999998,126.08,24.41290827457692
154,106.08879999999999,126.16,24.620586866975327
155,106.13680000000001,126.8,24.929471755871937
156,107.14639999999997,127.44,25.1316803245894
157,107.69600000000005,127.68,24.638824981889385
158,107.80960000000005,127.68,24.55288791781412
159,107.67680000000001,127.68,25.220239991173777
160,108.28160000000001,127.76,25.367277028199922
161,108.68720000000002,127.76,25.387540971563634
162,108.85040000000001,127.76,24.975823612484515
163,108.23039999999997,128.0,24.93178137208302
164,109.15359999999995,128.8,25.444274921466075
165,109.09120000000003,129.36,24.970576559795127
166,109.28399999999993,129.36,25.070905915594707
167,108.99919999999995,129.36,25.094302194882733
168,110.03599999999997,129.76,25.655462231855036
169,110.03519999999999,131.12,24.95870247233224
170,110.03839999999997,131.68,25.30487052264529
171,110.61839999999998,132.56,25.70728099565447
172,111.01360000000004,133.6,25.77104058510898
173,111.61359999999999,135.36,26.31952533311827
174,112.98240000000001,134.8,26.459173517941917
175,113.23839999999991,134.8,26.62398945949357
176,113.59200000000001,135.36,26.997747226761227
177,114.5992,135.36,27.075022413548414
178,114.1416,135.92,26.56728750670371
179,114.39040000000001,136.48,27.09114734999035
180,115.02079999999998,137.04,27.08578316255476
181,115.04079999999995,138.4,27.01277985659935
182,115.54960000000003,138.88,27.245582361870856
183,115.99760000000002,138.96,27.425325021507703
184,116.58639999999995,139.52,27.61907243754708
185,117.30720000000002,140.32,27.610620026219884
186,118.26240000000001,140.32,27.941535415726907
187,118.03040000000003,140.32,27.46367787115399
188,118.70079999999996,140.88,27.894859561378222
189,118.49439999999993,141.12,27.63156934325796
190,118.7392,141.12,27.977631243756633
191,119.66480000000006,142.8,28.075838931729333
192,119.38959999999999,142.24,27.608054846611427
193,119.90240000000003,142.24,27.819427762846416
194,120.02159999999996,143.92,27.98943690048892
195,120.7632,144.48,28.201359593567805
196,120.51440000000002,145.6,28.131069491315856
197,121.4848,145.6,28.39738817853642
198,122.12000000000002,146.16,28.534791129022054
199,122.47279999999996,147.28,28.742393553200053
200,123.25439999999999,147.28,29.177683727262885
201,122.84559999999998,147.28,28.87628784640481
202,124.08000000000001,147.28,29.170850248447213
203,124.0784,147.28,29.15849115614981
204,124.12320000000001,147.28,29.22971382936429
205,124.36479999999996,147.84,29.319362341919696
206,123.99040000000002,148.4,29.38762848118322
207,124.40879999999999,149.52,29.453645433502253
208,124.248,150.64,29.132518787635885
209,125.51040000000005,151.2,29.743379178727324
210,125.95839999999997,151.76,29.932916143111374
211,126.79920000000001,152.32,30.3043066872618
212,127.94240000000005,152.32,30.27579004081175
213,127.192,152.32,29.943654337384746
214,127.94079999999997,153.12,30.450896329912638
215,128.25839999999994,153.36,30.03019542560742
216,128.31599999999997,153.92,30.197822868225817
217,128.51840000000004,154.48,30.36239119904238
218,128.45920000000007,154.48,30.499443353289767
219,129.22479999999996,155.6,30.8681059215856
220,129.28560000000002,155.6,30.62463712571722
221,130.04559999999995,155.6,30.809732054047025
222,130.2064,156.16,30.752053236681736
223,131.02480000000003,156.16,30.929262320859383
224,131.31839999999994,156.16,31.043727688682328
225,131.09279999999998,156.72,30.741656316799762
226,131.3576000000001,157.28,31.276521453956516
227,132.3248,157.28,31.256880012334086
228,131.3063999999999,157.84,30.189638302260917
229,131.69120000000004,158.96,30.932790056096202
230,131.43199999999996,159.04,31.152225734314893
231,133.1528,159.28,31.72186721627486
232,132.64640000000006,159.84,31.13592177374109
233,133.28719999999998,159.84,31.8068509516138
234,133.3464000000001,159.84,31.441672315717543
235,134.04319999999998,159.84,31.713023811267703
236,134.42399999999998,160.4,31.68550068198851
237,134.22160000000002,160.4,31.46096645012902
238,134.12719999999996,160.4,31.752091253520287
239,134.4784,160.96,31.747707396613727
240,134.4776,160.96,31.84494827608335
241,135.3296,160.96,31.75226240845067
242,134.94400000000002,160.96,31.50175776007839
243,135.0936,161.2,31.695357889793698
244,135.33520000000001,161.2,31.887565750961897
245,135.0912,161.2,31.7658276154859
246,135.02080000000007,162.32,31.834897966898353
247,134.8168,162.88,32.05950625173095
248,135.82240000000002,163.44,32.14908804764566
249,136.31279999999998,163.52,32.125408818840526
250,136.09199999999993,163.6,32.0877321746186
251,137.12800000000004,163.6,32.41403168490426
252,137.06240000000008,163.6,32.39231003022502
253,137.22239999999996,164.16,32.329066300972066
254,137.46,164.16,32.233697868846235
255,137.22800000000004,164.72,32.326484076600195
256,137.68079999999998,164.72,32.4155420676583
257,137.83200000000002,164.72,32.42859637790063
258,137.7392,165.28,32.18078403829898
259,138.6616,165.28,32.58435602236978
260,138.83439999999996,165.28,32.414692255511305
261,138.73120000000003,165.84,32.523969736022885
262,138.716,166.4,32.80864023169305
263,139.20159999999998,166.4,32.91723290317465
264,138.94799999999998,166.4,32.45781992255605
265,138.84480000000002,166.4,32.93184329727757
266,139.18560000000002,166.4,32.943428817284406
267,139.04800000000006,166.4,32.757116414887854
268,139.69759999999994,166.4,32.77353117946051
269,139.8688,166.4,32.856304282877154
270,139.52879999999996,166.96,32.45534616671906
271,139.80479999999991,166.96,32.95658759232809
272,139.93919999999994,166.96,32.635083178262235
273,139.6688,167.52,32.54668230041944
274,140.19919999999993,167.52,33.31438193116685
275,140.38,167.52,32.93462737346281
276,140.2792,168.08,32.60110652051423
277,140.42,168.08,33.05576841473244
278,140.05920000000003,168.08,32.97199741634513
279,141.44640000000004,168.64,33.139364730798185
280,140.04320000000007,168.64,32.39339614510495
281,141.0568,168.64,33.55597057220591
282,140.94559999999993,169.2,33.190825639054935
283,141.27360000000004,169.76,33.04101041689518
284,141.6424,169.76,33.21389921278988
285,141.37839999999997,170.0,33.130867035616546
286,141.76399999999998,170.0,33.52176826920536
287,141.22800000000004,170.0,33.682816631625045
288,142.41039999999995,170.0,33.77434334535522
289,142.3032,170.0,33.60612459432554
290,142.57760000000002,170.56,33.3970873705038
291,142.27280000000007,170.56,33.17627934622465
292,142.00719999999998,171.12,33.4247593616815
293,142.46400000000003,171.12,33.838234802352034
294,143.6088,171.12,33.85739946259575
295,143.33440000000002,171.12,33.56833469021325
296,142.7848,171.68,33.41707941495199
297,143.23439999999994,171.68,33.755861249228744
298,143.5208,171.68,33.63573744656645
299,142.8912,171.68,33.3427818057399
300,143.2584,172.24,33.69485936344936
301,143.25279999999998,172.8,33.97384261224877
302,143.89519999999996,172.88,33.8774366556385
303,144.05199999999996,173.2,34.093551535508134
304,143.75359999999998,173.44,33.81956678423521
305,144.97359999999995,174.0,34.093385856659786
306,145.048,174.56,33.92472863693681
307,145.17280000000008,174.56,34.16893001038112
308,144.97920000000005,174.64,33.860610595330996
309,145.27439999999999,174.64,34.22590116172881
310,145.26400000000004,175.2,34.7396259078386
311,146.01120000000006,175.2,34.041960851294924
312,146.48799999999994,175.2,34.29009650095487
313,146.55680000000004,175.2,34.22874318162795
314,146.49120000000002,175.76,34.45550994792582
315,145.776,175.76,34.14530699749021
316,146.41599999999997,176.32,34.80754031987766
317,146.21760000000003,176.32,34.641894621204735
318,146.86960000000002,176.32,34.592459684805135
319,146.1192000000001,176.32,34.58785494414771
320,148.18960000000004,176.32,34.879807906473175
321,146.98960000000002,176.32,34.240895932254304
322,147.3912,176.88,34.810256150683365
323,147.244,176.88,34.38397022236708
324,147.68079999999998,176.88,34.50545719579343
325,148.14879999999997,176.88,34.28431628439553
326,147.36479999999997,176.96,34.39181065312299
327,147.95359999999994,177.52,34.63206585409652
328,147.68639999999996,177.52,34.80612647238965
329,147.42800000000005,177.52,34.963478893381414
330,148.27759999999998,177.52,34.57572865215878
331,147.94399999999996,177.52,34.4888580852561
332,147.85759999999996,177.52,34.749420138333086
333,148.53680000000006,177.68,35.08280981398242
334,148.82879999999994,177.68,34.91694679695592
335,148.1064,177.68,34.5572740770903
336,148.35839999999996,177.68,34.868271450715184
337,147.6568,178.0,34.677805184720654
338,148.72880000000004,178.0,34.95955629593411
339,148.1376,178.0,34.83987329147189
340,147.93039999999993,178.0,35.153693353134514
341,148.50719999999998,178.0,34.970365419871825
342,149.50959999999998,178.0,35.1321996538544
343,148.73919999999995,178.56,34.46186476392716
344,149.16559999999996,179.12,34.880728890039606
345,148.6536,179.12,34.36627181624255
346,148.8592,179.12,34.6570053616268
347,149.40879999999996,180.24,35.21575585254901
348,149.89679999999996,180.24,34.775923434108634
349,149.61040000000006,180.24,34.851368329889176
350,149.55760000000006,180.24,35.39355127802533
