Generation,Average Fitness,Best Fitness,Standard Deviation,Average Hamming Distance
165,51.42719999999998,56.0,5.668743583844522,3.8487171717171713
166,51.55999999999999,56.0,5.63525795678971,3.805490909090908
167,51.42799999999998,56.0,5.637112567896788,3.8537858585858578
168,51.535999999999994,56.0,5.660272248724154,3.843957575757577
169,51.6928,56.08,5.569884634998654,3.791650505050506
170,51.45360000000001,56.24,5.626098928940131,3.87221414141414
171,51.5696,56.32,5.684548605321595,3.8549878787878775
172,51.65040000000002,56.48,5.681952963896545,3.8695979797979794
173,51.63440000000002,56.72,5.665905212372125,3.8774363636363653
174,51.972800000000014,56.72,5.8056274024282315,3.762616161616165
175,52.01039999999999,56.72,5.707377642543517,3.7309393939393924
176,52.27279999999999,56.8,5.7453093942376885,3.633232323232323
177,52.24239999999999,56.8,5.703502261489625,3.6135272727272745
178,52.372,56.88,5.656650349592561,3.585064646464648
179,52.21760000000001,56.96,5.674439051373448,3.616937373737373
180,52.394400000000026,56.96,5.765170694327372,3.568476767676768
181,52.47120000000001,57.12,5.689922732564828,3.5855858585858584
182,52.43680000000001,57.12,5.653309873991897,3.6011272727272727
183,52.48640000000001,57.2,5.719148461051086,3.5578060606060613
184,52.5752,57.28,5.780537940965994,3.5360545454545447
185,52.63840000000001,57.28,5.727140170983358,3.531597979797978
186,52.77279999999998,57.28,5.754451629376266,3.4981878787878777
187,52.735200000000006,57.28,5.683351424612832,3.5157979797979793
188,52.85760000000001,57.28,5.755412468423798,3.4451898989898995
189,52.79360000000004,57.28,5.650304030836992,3.4888222222222227
190,52.83120000000002,57.36,5.693487825742798,3.48889494949495
191,53.032800000000016,57.52,5.742643765628697,3.4582969696969683
192,52.79679999999999,57.6,5.5667900760894975,3.517171717171716
193,53.02319999999999,57.6,5.741382794210719,3.4874686868686866
194,53.06959999999997,57.68,5.706303276234921,3.4303252525252517
195,53.14559999999999,57.68,5.741262539213108,3.378323232323234
196,53.14079999999997,57.68,5.728235642909015,3.396034343434343
197,53.21519999999996,57.76,5.641750516865114,3.3685616161616165
198,53.23120000000001,57.84,5.719210315638577,3.3550949494949505
199,53.20719999999999,57.92,5.7025237945318725,3.3703272727272724
200,53.34479999999999,57.92,5.7112569423803645,3.3325575757575767
201,53.29439999999999,57.92,5.711844464967307,3.3100404040404037
202,53.3768,57.92,5.805030201136493,3.304333333333334
203,53.327200000000005,57.92,5.657110879839605,3.313804040404042
204,53.42400000000002,57.92,5.752434644379421,3.284973737373738
205,53.40959999999999,58.08,5.7323123998451,3.304145454545456
206,53.391999999999996,58.16,5.746881310168813,3.310303030303031
207,53.44800000000001,58.16,5.784089511820715,3.3158181818181807
208,53.44720000000001,58.24,5.740934758019104,3.3241717171717173
209,53.61599999999999,58.32,5.805023954395863,3.240670707070708
210,53.75040000000002,58.32,5.780995988038744,3.1799656565656567
211,53.67680000000003,58.4,5.74899698361176,3.142945454545455
212,53.80160000000001,58.4,5.810029400221814,3.0887515151515146
213,53.7064,58.48,5.786207865263567,3.101648484848485
214,53.78160000000002,58.64,5.842421323912641,3.091070707070707
215,53.84559999999998,58.8,5.785953617380657,3.063159595959595
216,53.9112,58.8,5.786431464171688,3.0676707070707065
217,53.96319999999998,58.96,5.75879766788121,3.050583838383838
218,54.06399999999999,59.12,5.817064306212294,2.9613090909090904
219,54.21760000000001,59.2,5.910414706250979,2.8706666666666667
220,54.33279999999998,59.2,5.902952560302574,2.8411171717171726
221,54.50959999999999,59.28,5.887548058259078,2.814529292929292
222,54.54239999999999,59.28,5.770480973120544,2.7836686868686864
223,54.67119999999996,59.28,5.834494571362954,2.7447878787878786
224,54.65679999999998,59.28,5.804007346085371,2.7172646464646473
225,54.59679999999997,59.28,5.7327225287725,2.7271676767676767
226,54.78240000000001,59.36,5.852620809353521,2.6733494949494947
227,54.68800000000001,59.36,5.774187776880307,2.72149494949495
228,54.71199999999998,59.36,5.789173753311743,2.7500808080808077
229,54.71200000000003,59.36,5.7424179045127834,2.7667474747474743
230,54.633600000000015,59.44,5.795004176843306,2.7810484848484847
231,54.75119999999999,59.44,5.875278527661322,2.732882828282828
232,54.663999999999994,59.44,5.785214672145921,2.7573838383838374
233,54.77680000000002,59.44,5.813288683844855,2.7138808080808094
234,54.68960000000003,59.44,5.815526946546057,2.7083979797979794
235,54.78799999999999,59.44,5.862145348747787,2.671470707070707
236,54.848,59.44,5.906651495688488,2.6460101010101
237,54.8712,59.52,5.785283522969622,2.6525555555555567
238,54.77519999999997,59.52,5.800524624472178,2.6743010101010096
239,54.84400000000001,59.6,5.838913166949668,2.6851090909090902
240,54.861600000000024,59.6,5.852060345790253,2.6895353535353537
241,54.947999999999986,59.6,5.9057074620353704,2.6588282828282828
242,54.954399999999985,59.76,5.74876747118906,2.669252525252526
243,54.93680000000001,59.76,5.829963517799896,2.671309090909091
244,54.9784,59.76,5.882230829006302,2.6827010101010096
245,54.95520000000001,59.76,5.7765971168827965,2.649779797979798
246,54.99040000000003,59.76,5.851260570429336,2.633480808080807
247,55.0704,59.92,5.934707144781065,2.5937353535353536
248,55.071200000000005,59.92,5.815647096750308,2.5999070707070713
249,55.116000000000014,60.0,5.927832897452898,2.6173838383838386
250,55.29200000000001,60.08,5.9090708437428985,2.5647090909090906
