Gen,AvgFit,BestFit 
162,101.9464,126.4
163,102.39119999999996,126.32
164,103.37519999999999,128.0
165,103.58079999999994,127.36
166,104.16159999999999,128.0
167,104.27279999999999,127.68
168,104.5208,128.24
169,104.61039999999998,128.24
170,104.69360000000007,128.4
171,104.74480000000003,128.96
172,105.45360000000002,129.6
173,105.04879999999997,131.28
174,105.28159999999998,131.28
175,106.09839999999997,131.84
176,105.64960000000005,131.84
177,106.25759999999997,131.92
178,106.53759999999998,131.6
179,106.8528,132.32
180,107.75440000000002,133.04
181,107.63760000000002,133.6
182,107.57919999999999,133.6
183,108.40320000000001,133.6
184,108.69920000000002,134.16
185,108.90080000000003,135.28
186,109.26160000000002,134.96
187,109.41119999999995,134.8
188,109.56000000000007,135.84
189,110.0872,136.08
190,110.16239999999996,136.64
191,110.34639999999999,136.64
192,111.0624,136.64
193,111.036,137.2
194,110.82799999999996,137.76
195,111.55600000000003,137.84
196,111.8648,137.28
197,111.9896,139.04
198,112.044,139.12
199,111.90159999999995,139.92
200,112.37039999999999,139.92
201,112.34560000000005,142.16
202,113.50399999999992,143.84
203,113.25200000000001,143.84
204,113.94319999999995,144.4
205,114.21520000000004,144.64
206,114.62479999999996,144.72
207,115.15360000000003,144.72
208,115.63199999999999,145.84
209,116.09440000000006,145.84
210,117.06559999999999,145.84
211,117.2528,145.84
212,117.47199999999997,146.4
213,117.80799999999998,145.84
214,118.79920000000004,145.84
215,117.99920000000003,145.92
216,118.8584,145.92
217,118.38400000000001,145.92
218,118.52720000000001,146.72
219,118.26719999999999,146.64
220,118.40240000000003,146.96
221,119.02239999999998,146.96
222,118.85600000000008,147.04
223,119.13519999999998,147.04
224,118.24719999999998,147.6
225,119.01439999999997,147.6
226,118.9912,148.4
227,119.80799999999994,148.96
228,120.19039999999997,149.52
229,120.17599999999992,150.08
230,119.94960000000003,150.08
231,119.93360000000001,150.64
232,120.20080000000003,150.64
233,120.95199999999996,150.64
234,120.94320000000003,150.64
235,121.33760000000001,150.64
236,121.2928,150.88
237,121.3224,150.88
238,120.90159999999997,150.88
239,121.72719999999998,150.88
240,121.97600000000003,152.56
241,121.92240000000001,151.44
242,122.20159999999998,152.0
243,122.55039999999994,152.56
244,121.81199999999994,152.48
245,122.48319999999994,153.12
246,123.03200000000004,153.12
247,123.42479999999996,153.12
248,123.4904,153.12
249,123.7928,153.12
250,123.65360000000003,153.12
251,123.90479999999997,154.24
252,123.82399999999998,154.24
253,123.20880000000001,154.48
254,124.08400000000002,154.48
255,123.37200000000001,154.48
256,123.42960000000002,154.48
257,124.05759999999997,154.56
258,124.15919999999998,155.12
259,124.50559999999997,155.68
260,124.47759999999998,156.24
261,124.80080000000004,156.24
262,125.0544,155.68
263,125.17200000000001,156.56
264,125.3616,156.8
265,125.13680000000001,157.36
266,125.41999999999999,156.88
267,125.64319999999996,156.88
268,126.14240000000001,156.88
269,125.9552,158.24
270,126.18,158.48
271,126.5768,158.72
272,126.936,158.48
273,126.79360000000004,158.48
274,127.35760000000002,158.48
275,127.49760000000003,158.72
276,127.6424,159.84
277,127.53120000000004,160.4
278,127.50959999999999,159.84
279,128.09200000000004,159.84
280,128.26560000000006,159.84
281,128.5016,160.96
282,128.64159999999995,160.4
283,128.86319999999995,160.4
284,128.36320000000006,160.64
285,128.76560000000006,161.2
286,129.04799999999997,161.76
287,129.79520000000005,161.2
288,129.59679999999997,161.76
289,129.44639999999998,161.76
290,128.92079999999996,161.76
291,128.8672,162.32
292,128.82960000000006,162.32
293,129.71519999999998,162.88
294,129.9528,163.44
295,130.30560000000003,163.44
296,130.58800000000002,164.0
297,130.65040000000002,164.0
298,130.704,164.0
299,130.97359999999992,164.0
300,131.30719999999997,164.0
301,131.25120000000004,164.0
302,131.62160000000003,164.72
303,131.40879999999996,164.72
304,130.76480000000004,165.12
305,131.55440000000007,165.12
306,131.5896,165.68
307,131.64240000000004,165.68
308,132.60880000000003,165.68
309,133.05840000000003,165.68
310,131.98719999999994,165.68
311,132.1848,165.76
312,132.1168,166.32
313,132.3224,166.32
314,132.13040000000004,166.32
315,132.3792,166.32
316,133.14960000000008,166.32
317,132.94160000000002,167.12
318,132.89999999999998,167.36
319,133.09199999999998,167.6
320,133.41360000000006,168.16
321,134.44800000000006,168.16
322,133.72159999999997,168.24
323,133.82640000000004,168.24
324,133.91839999999996,168.24
325,133.9415999999999,168.8
326,134.78320000000002,168.8
327,134.94720000000004,168.8
328,134.89520000000005,168.8
329,135.28400000000008,169.92
330,134.9424,169.92
331,135.3752000000001,170.48
332,135.3071999999999,171.04
333,135.61039999999997,170.48
334,135.05119999999997,170.48
335,135.124,170.48
336,136.13760000000005,171.04
337,136.2688,171.04
338,136.0008,171.6
339,136.2808,171.6
340,136.2136,171.04
341,136.50560000000002,171.6
342,136.67840000000007,171.6
343,136.52559999999997,171.6
344,136.2304,171.6
345,136.96,172.16
346,136.96079999999995,171.6
347,137.19199999999995,171.6
348,137.06719999999999,171.6
349,136.91999999999996,172.16
350,136.74880000000002,172.16
351,137.59760000000003,172.16
352,137.25199999999998,172.16
353,137.89840000000007,172.16
354,137.74159999999995,172.16
355,137.3928,172.16
356,137.8472,172.16
357,137.2712,172.16
358,137.99520000000007,172.16
359,137.96319999999994,172.16
360,137.32480000000007,172.16
361,137.01999999999995,172.16
362,137.2848,172.72
363,137.30159999999998,172.4
364,137.36640000000003,172.96
365,137.34160000000003,172.96
366,137.58960000000008,174.08
367,137.9936,173.52
368,137.72560000000004,173.52
369,137.84079999999997,173.52
370,137.72000000000006,173.52
371,137.5536,174.64
372,138.18559999999997,175.2
373,139.03279999999998,175.2
374,138.67999999999995,175.76
375,138.8176,176.32
376,138.7456,176.32
377,138.8936,176.32
378,138.4792,176.32
379,139.0328,176.32
380,139.79600000000002,176.88
381,140.0704,176.88
382,140.1656,176.88
383,140.43680000000003,177.44
384,140.58159999999995,177.44
385,140.61280000000002,177.44
386,140.6616,177.44
387,140.5288,178.0
388,141.23600000000005,178.0
389,140.36559999999994,178.0
390,140.5007999999999,178.56
391,140.6192,178.56
392,141.12880000000004,178.56
393,140.65119999999996,178.56
394,140.9296,179.12
395,141.2424,179.68
396,141.22960000000003,179.12
397,141.6072,179.12
398,141.42479999999995,179.68
399,141.3216,179.68
400,141.52879999999993,179.68
401,142.03679999999997,179.68
402,141.95760000000004,180.24
403,142.14239999999995,180.24
404,142.8512,180.8
405,142.4896,179.68
406,142.5296,179.68
407,142.1536,179.68
408,142.98560000000003,179.68
409,142.78560000000002,180.24
410,142.55999999999995,180.24
411,142.8312,180.24
412,142.6624,180.24
413,142.84800000000004,180.24
414,142.71520000000004,180.24
415,142.7055999999999,180.24
416,143.4072,180.24
417,143.4407999999999,180.8
418,143.10239999999993,180.8
419,143.616,180.8
420,143.47519999999997,180.8
421,143.5456,180.8
422,143.04879999999991,180.8
423,143.52479999999997,180.8
424,143.26879999999997,181.36
425,143.76880000000006,181.36
426,143.35999999999996,180.8
427,143.30960000000002,180.8
428,143.15919999999997,181.36
429,143.1776,181.36
430,143.6288,181.36
431,143.352,181.36
432,142.81359999999998,181.92
433,142.98079999999996,181.92
434,142.37760000000003,181.92
435,143.12479999999996,182.48
436,143.93200000000002,182.48
437,143.83999999999992,182.48
438,144.6208,182.48
439,144.9744,183.04
440,144.1848,183.04
441,144.53280000000007,183.04
442,144.4792,183.04
443,144.0384,183.04
444,143.80720000000005,183.04
445,144.3344,183.04
446,145.14080000000004,183.04
447,145.9968,183.04
448,145.50479999999996,183.04
449,145.10880000000006,183.04
450,144.76079999999996,183.04
451,144.69280000000003,183.04
452,144.42319999999995,183.04
453,145.16719999999998,183.04
454,145.22239999999994,183.04
455,144.5448,183.04
456,144.0056,183.04
457,144.50639999999999,183.04
458,145.3304,183.04
459,145.42240000000004,183.04
460,146.2816,183.04
461,145.45439999999996,183.04
462,145.76479999999998,183.04
463,145.31600000000003,183.6
464,144.86079999999998,183.04
465,145.05280000000005,183.04
466,145.28239999999997,184.16
467,145.09919999999997,184.16
468,144.54880000000006,184.16
469,144.7112,184.16
470,145.1199999999999,184.16
471,145.0312,184.16
472,144.50799999999992,184.72
473,144.4968000000001,184.72
474,145.68799999999996,184.72
475,145.076,185.28
476,144.84959999999998,184.72
477,145.2912,184.72
478,145.78080000000003,184.72
479,146.0136,184.72
480,146.43840000000003,184.72
481,145.67680000000001,184.72
482,145.996,184.72
483,145.7992,184.72
484,145.62080000000003,184.72
485,145.38640000000007,184.72
486,145.5728,185.28
487,146.11200000000005,185.28
488,145.7704,185.28
489,145.79920000000004,185.28
490,146.58399999999995,185.28
